group_name,group_level,strata_name,strata_level,window_name,variable,variable_type,variable_level,estimate_type,estimate,cdm_name,generated_by
Cohort name,new_users_hydroxychloroquine,Overall,Overall,-365 to -1,ATC 3rd: LOCAL ANESTHETICS (21605096),binary,NA,count,96,PHARMETRICS,DrugUtilisation_0.2.0_summariseCodelistATC
Cohort name,new_users_methotrexate,Overall,Overall,-365 to -1,ATC 3rd: ANDROGENS (21602506),binary,NA,count,313,PHARMETRICS,DrugUtilisation_0.2.0_summariseCodelistATC
Cohort name,new_users_hydroxychloroquine,Overall,Overall,-365 to -1,ATC 3rd: AGENTS AGAINST AMOEBIASIS AND OTHER PROTOZOAL DISEASES (21604849),binary,NA,count,1961,PHARMETRICS,DrugUtilisation_0.2.0_summariseCodelistATC
Cohort name,new_users_methotrexate,Overall,Overall,-365 to -1,ATC 3rd: LOCAL ANESTHETICS (21605096),binary,NA,count,86,PHARMETRICS,DrugUtilisation_0.2.0_summariseCodelistATC
Cohort name,new_users_methotrexate,Overall,Overall,-365 to -1,ATC 3rd: STOMATOLOGICAL PREPARATIONS (21600003),binary,NA,count,1456,PHARMETRICS,DrugUtilisation_0.2.0_summariseCodelistATC
Cohort name,new_users_methotrexate,Overall,Overall,-365 to -1,ATC 3rd: CALCIUM CHANNEL BLOCKERS AND DIURETICS (21601779),binary,NA,count,26,PHARMETRICS,DrugUtilisation_0.2.0_summariseCodelistATC
Cohort name,new_users_hydroxychloroquine,Overall,Overall,-365 to -1,ATC 3rd: DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD) (21600080),binary,NA,count,13402,PHARMETRICS,DrugUtilisation_0.2.0_summariseCodelistATC
Cohort name,new_users_methotrexate,Overall,Overall,-365 to -1,ATC 3rd: POSTERIOR PITUITARY LOBE HORMONES (21602697),binary,NA,count,63,PHARMETRICS,DrugUtilisation_0.2.0_summariseCodelistATC
Cohort name,new_users_methotrexate,Overall,Overall,-365 to -1,"ATC 3rd: BETA-LACTAM ANTIBACTERIALS, PENICILLINS (21602818)",binary,NA,count,7848,PHARMETRICS,DrugUtilisation_0.2.0_summariseCodelistATC
Cohort name,new_users_hydroxychloroquine,Overall,Overall,-365 to -1,ATC 3rd: IMMUNOSUPPRESSANTS (21603891),binary,NA,count,10259,PHARMETRICS,DrugUtilisation_0.2.0_summariseCodelistATC
