cohort_definition_id,age_group,sex,days_prior_history,start_date,end_date,strata_cohort_definition_id,strata_cohort_name,number_records,number_subjects,reason_id,reason,excluded_records,excluded_subjects
1,0;19,Both,365,2019-01-01,2022-06-01,NA,NA,37145088,34808145,1,Starting population,NA,NA
1,0;19,Both,365,2019-01-01,2022-06-01,NA,NA,37145088,34808145,2,Missing year of birth,0,0
1,0;19,Both,365,2019-01-01,2022-06-01,NA,NA,37143653,34806847,3,Missing sex,1435,1298
1,0;19,Both,365,2019-01-01,2022-06-01,NA,NA,37143653,34806847,4,Cannot satisfy age criteria during the study period based on year of birth,0,0
1,0;19,Both,365,2019-01-01,2022-06-01,NA,NA,19628696,18784392,5,No observation time available during study period,17514957,16022455
1,0;19,Both,365,2019-01-01,2022-06-01,NA,NA,19628696,18784392,6,Doesn't satisfy age criteria during the study period,0,0
1,0;19,Both,365,2019-01-01,2022-06-01,NA,NA,13467610,13311811,7,Prior history requirement not fulfilled during study period,6161086,5472581
1,0;19,Both,365,2019-01-01,2022-06-01,NA,NA,2538698,2510621,10,No observation time available after applying age and prior history criteria,10928912,10801190
2,0;19,Female,365,2019-01-01,2022-06-01,NA,NA,37145088,34808145,1,Starting population,NA,NA
2,0;19,Female,365,2019-01-01,2022-06-01,NA,NA,37145088,34808145,2,Missing year of birth,0,0
2,0;19,Female,365,2019-01-01,2022-06-01,NA,NA,37143653,34806847,3,Missing sex,1435,1298
2,0;19,Female,365,2019-01-01,2022-06-01,NA,NA,37143653,34806847,4,Cannot satisfy age criteria during the study period based on year of birth,0,0
2,0;19,Female,365,2019-01-01,2022-06-01,NA,NA,19628696,18784392,5,No observation time available during study period,17514957,16022455
2,0;19,Female,365,2019-01-01,2022-06-01,NA,NA,19628696,18784392,6,Doesn't satisfy age criteria during the study period,0,0
2,0;19,Female,365,2019-01-01,2022-06-01,NA,NA,13467610,13311811,7,Prior history requirement not fulfilled during study period,6161086,5472581
2,0;19,Female,365,2019-01-01,2022-06-01,NA,NA,6991434,6910491,8,Not Female,6476176,6401320
2,0;19,Female,365,2019-01-01,2022-06-01,NA,NA,1241199,1227366,10,No observation time available after applying age and prior history criteria,5750235,5683125
3,0;19,Male,365,2019-01-01,2022-06-01,NA,NA,37145088,34808145,1,Starting population,NA,NA
3,0;19,Male,365,2019-01-01,2022-06-01,NA,NA,37145088,34808145,2,Missing year of birth,0,0
3,0;19,Male,365,2019-01-01,2022-06-01,NA,NA,37143653,34806847,3,Missing sex,1435,1298
3,0;19,Male,365,2019-01-01,2022-06-01,NA,NA,37143653,34806847,4,Cannot satisfy age criteria during the study period based on year of birth,0,0
3,0;19,Male,365,2019-01-01,2022-06-01,NA,NA,19628696,18784392,5,No observation time available during study period,17514957,16022455
3,0;19,Male,365,2019-01-01,2022-06-01,NA,NA,19628696,18784392,6,Doesn't satisfy age criteria during the study period,0,0
3,0;19,Male,365,2019-01-01,2022-06-01,NA,NA,13467610,13311811,7,Prior history requirement not fulfilled during study period,6161086,5472581
3,0;19,Male,365,2019-01-01,2022-06-01,NA,NA,6476176,6401320,8,Not Male,6991434,6910491
3,0;19,Male,365,2019-01-01,2022-06-01,NA,NA,1297499,1283255,10,No observation time available after applying age and prior history criteria,5178677,5118065
4,20;39,Both,365,2019-01-01,2022-06-01,NA,NA,37145088,34808145,1,Starting population,NA,NA
4,20;39,Both,365,2019-01-01,2022-06-01,NA,NA,37145088,34808145,2,Missing year of birth,0,0
4,20;39,Both,365,2019-01-01,2022-06-01,NA,NA,37143653,34806847,3,Missing sex,1435,1298
4,20;39,Both,365,2019-01-01,2022-06-01,NA,NA,37143653,34806847,4,Cannot satisfy age criteria during the study period based on year of birth,0,0
4,20;39,Both,365,2019-01-01,2022-06-01,NA,NA,19628696,18784392,5,No observation time available during study period,17514957,16022455
4,20;39,Both,365,2019-01-01,2022-06-01,NA,NA,19628696,18784392,6,Doesn't satisfy age criteria during the study period,0,0
4,20;39,Both,365,2019-01-01,2022-06-01,NA,NA,13467610,13311811,7,Prior history requirement not fulfilled during study period,6161086,5472581
4,20;39,Both,365,2019-01-01,2022-06-01,NA,NA,3793068,3745908,10,No observation time available after applying age and prior history criteria,9674542,9565903
5,20;39,Female,365,2019-01-01,2022-06-01,NA,NA,37145088,34808145,1,Starting population,NA,NA
5,20;39,Female,365,2019-01-01,2022-06-01,NA,NA,37145088,34808145,2,Missing year of birth,0,0
5,20;39,Female,365,2019-01-01,2022-06-01,NA,NA,37143653,34806847,3,Missing sex,1435,1298
5,20;39,Female,365,2019-01-01,2022-06-01,NA,NA,37143653,34806847,4,Cannot satisfy age criteria during the study period based on year of birth,0,0
5,20;39,Female,365,2019-01-01,2022-06-01,NA,NA,19628696,18784392,5,No observation time available during study period,17514957,16022455
5,20;39,Female,365,2019-01-01,2022-06-01,NA,NA,19628696,18784392,6,Doesn't satisfy age criteria during the study period,0,0
5,20;39,Female,365,2019-01-01,2022-06-01,NA,NA,13467610,13311811,7,Prior history requirement not fulfilled during study period,6161086,5472581
5,20;39,Female,365,2019-01-01,2022-06-01,NA,NA,6991434,6910491,8,Not Female,6476176,6401320
5,20;39,Female,365,2019-01-01,2022-06-01,NA,NA,1940840,1916216,10,No observation time available after applying age and prior history criteria,5050594,4994275
