analysis_id,n_persons,person_days,n_events,incidence_start_date,incidence_end_date,person_years,incidence_100000_pys,incidence_100000_pys_95CI_lower,incidence_100000_pys_95CI_upper,cohort_obscured,result_obscured,outcome_cohort_id,outcome_cohort_name,analysis_outcome_washout,analysis_repeated_events,analysis_interval,analysis_complete_database_intervals,denominator_cohort_id,analysis_min_cell_count,denominator_cohort_name,denominator_age_group,denominator_sex,denominator_days_prior_history,denominator_start_date,denominator_end_date,denominator_strata_cohort_definition_id,denominator_strata_cohort_name,denominator_closed_cohort,cdm_name
1,4283,132773,NA,2019-01-01,2019-01-31,363.5126625598905,NA,NA,NA,FALSE,TRUE,1,users_hydroxychloroquine,365,FALSE,months,TRUE,1,5,Denominator cohort 1,0 to 19,Both,365,2019-01-01,2022-06-01,NA,general,FALSE,PHARMETRICS
1,4343,121604,NA,2019-02-01,2019-02-28,332.93360711841206,NA,NA,NA,FALSE,TRUE,1,users_hydroxychloroquine,365,FALSE,months,TRUE,1,5,Denominator cohort 1,0 to 19,Both,365,2019-01-01,2022-06-01,NA,general,FALSE,PHARMETRICS
1,4347,134757,NA,2019-03-01,2019-03-31,368.94455852156057,NA,NA,NA,FALSE,TRUE,1,users_hydroxychloroquine,365,FALSE,months,TRUE,1,5,Denominator cohort 1,0 to 19,Both,365,2019-01-01,2022-06-01,NA,general,FALSE,PHARMETRICS
1,4134,124020,NA,2019-04-01,2019-04-30,339.5482546201232,NA,NA,NA,FALSE,TRUE,1,users_hydroxychloroquine,365,FALSE,months,TRUE,1,5,Denominator cohort 1,0 to 19,Both,365,2019-01-01,2022-06-01,NA,general,FALSE,PHARMETRICS
1,4152,128712,NA,2019-05-01,2019-05-31,352.394250513347,NA,NA,NA,FALSE,TRUE,1,users_hydroxychloroquine,365,FALSE,months,TRUE,1,5,Denominator cohort 1,0 to 19,Both,365,2019-01-01,2022-06-01,NA,general,FALSE,PHARMETRICS
1,3793,113790,NA,2019-06-01,2019-06-30,311.5400410677618,NA,NA,NA,FALSE,TRUE,1,users_hydroxychloroquine,365,FALSE,months,TRUE,1,5,Denominator cohort 1,0 to 19,Both,365,2019-01-01,2022-06-01,NA,general,FALSE,PHARMETRICS
1,3746,116126,NA,2019-07-01,2019-07-31,317.9356605065024,NA,NA,NA,FALSE,TRUE,1,users_hydroxychloroquine,365,FALSE,months,TRUE,1,5,Denominator cohort 1,0 to 19,Both,365,2019-01-01,2022-06-01,NA,general,FALSE,PHARMETRICS
1,3780,117180,NA,2019-08-01,2019-08-31,320.82135523613965,NA,NA,NA,FALSE,TRUE,1,users_hydroxychloroquine,365,FALSE,months,TRUE,1,5,Denominator cohort 1,0 to 19,Both,365,2019-01-01,2022-06-01,NA,general,FALSE,PHARMETRICS
1,3800,114000,NA,2019-09-01,2019-09-30,312.11498973305953,NA,NA,NA,FALSE,TRUE,1,users_hydroxychloroquine,365,FALSE,months,TRUE,1,5,Denominator cohort 1,0 to 19,Both,365,2019-01-01,2022-06-01,NA,general,FALSE,PHARMETRICS
1,3767,116777,NA,2019-10-01,2019-10-31,319.7180013689254,NA,NA,NA,FALSE,TRUE,1,users_hydroxychloroquine,365,FALSE,months,TRUE,1,5,Denominator cohort 1,0 to 19,Both,365,2019-01-01,2022-06-01,NA,general,FALSE,PHARMETRICS
1,3775,113250,NA,2019-11-01,2019-11-30,310.06160164271046,NA,NA,NA,FALSE,TRUE,1,users_hydroxychloroquine,365,FALSE,months,TRUE,1,5,Denominator cohort 1,0 to 19,Both,365,2019-01-01,2022-06-01,NA,general,FALSE,PHARMETRICS
1,3786,117366,NA,2019-12-01,2019-12-31,321.3305954825462,NA,NA,NA,FALSE,TRUE,1,users_hydroxychloroquine,365,FALSE,months,TRUE,1,5,Denominator cohort 1,0 to 19,Both,365,2019-01-01,2022-06-01,NA,general,FALSE,PHARMETRICS
1,3538,109678,NA,2020-01-01,2020-01-31,300.2819986310746,NA,NA,NA,FALSE,TRUE,1,users_hydroxychloroquine,365,FALSE,months,TRUE,1,5,Denominator cohort 1,0 to 19,Both,365,2019-01-01,2022-06-01,NA,general,FALSE,PHARMETRICS
1,3603,102863,NA,2020-02-01,2020-02-29,281.62354551676935,NA,NA,NA,FALSE,TRUE,1,users_hydroxychloroquine,365,FALSE,months,TRUE,1,5,Denominator cohort 1,0 to 19,Both,365,2019-01-01,2022-06-01,NA,general,FALSE,PHARMETRICS
1,3604,109954,NA,2020-03-01,2020-03-31,301.0376454483231,NA,NA,NA,FALSE,TRUE,1,users_hydroxychloroquine,365,FALSE,months,TRUE,1,5,Denominator cohort 1,0 to 19,Both,365,2019-01-01,2022-06-01,NA,general,FALSE,PHARMETRICS
1,3590,105815,NA,2020-04-01,2020-04-30,289.7056810403833,NA,NA,NA,FALSE,TRUE,1,users_hydroxychloroquine,365,FALSE,months,TRUE,1,5,Denominator cohort 1,0 to 19,Both,365,2019-01-01,2022-06-01,NA,general,FALSE,PHARMETRICS
1,2800,85518,NA,2020-05-01,2020-05-31,234.13552361396304,NA,NA,NA,FALSE,TRUE,1,users_hydroxychloroquine,365,FALSE,months,TRUE,1,5,Denominator cohort 1,0 to 19,Both,365,2019-01-01,2022-06-01,NA,general,FALSE,PHARMETRICS
1,2835,82875,NA,2020-06-01,2020-06-30,226.8993839835729,NA,NA,NA,FALSE,TRUE,1,users_hydroxychloroquine,365,FALSE,months,TRUE,1,5,Denominator cohort 1,0 to 19,Both,365,2019-01-01,2022-06-01,NA,general,FALSE,PHARMETRICS
1,2863,86683,NA,2020-07-01,2020-07-31,237.32511978097193,NA,NA,NA,FALSE,TRUE,1,users_hydroxychloroquine,365,FALSE,months,TRUE,1,5,Denominator cohort 1,0 to 19,Both,365,2019-01-01,2022-06-01,NA,general,FALSE,PHARMETRICS
1,2709,82419,NA,2020-08-01,2020-08-31,225.65092402464066,NA,NA,NA,FALSE,TRUE,1,users_hydroxychloroquine,365,FALSE,months,TRUE,1,5,Denominator cohort 1,0 to 19,Both,365,2019-01-01,2022-06-01,NA,general,FALSE,PHARMETRICS
1,2724,79748,NA,2020-09-01,2020-09-30,218.3381245722108,NA,NA,NA,FALSE,TRUE,1,users_hydroxychloroquine,365,FALSE,months,TRUE,1,5,Denominator cohort 1,0 to 19,Both,365,2019-01-01,2022-06-01,NA,general,FALSE,PHARMETRICS
1,2733,83703,NA,2020-10-01,2020-10-31,229.16632443531827,NA,NA,NA,FALSE,TRUE,1,users_hydroxychloroquine,365,FALSE,months,TRUE,1,5,Denominator cohort 1,0 to 19,Both,365,2019-01-01,2022-06-01,NA,general,FALSE,PHARMETRICS
1,2751,81225,NA,2020-11-01,2020-11-30,222.38193018480493,NA,NA,NA,FALSE,TRUE,1,users_hydroxychloroquine,365,FALSE,months,TRUE,1,5,Denominator cohort 1,0 to 19,Both,365,2019-01-01,2022-06-01,NA,general,FALSE,PHARMETRICS
1,3051,84261,NA,2020-12-01,2020-12-31,230.694045174538,NA,NA,NA,FALSE,TRUE,1,users_hydroxychloroquine,365,FALSE,months,TRUE,1,5,Denominator cohort 1,0 to 19,Both,365,2019-01-01,2022-06-01,NA,general,FALSE,PHARMETRICS
1,2656,80926,NA,2021-01-01,2021-01-31,221.56331279945243,NA,NA,NA,FALSE,TRUE,1,users_hydroxychloroquine,365,FALSE,months,TRUE,1,5,Denominator cohort 1,0 to 19,Both,365,2019-01-01,2022-06-01,NA,general,FALSE,PHARMETRICS
1,2608,73024,NA,2021-02-01,2021-02-28,199.92881587953457,NA,NA,NA,FALSE,TRUE,1,users_hydroxychloroquine,365,FALSE,months,TRUE,1,5,Denominator cohort 1,0 to 19,Both,365,2019-01-01,2022-06-01,NA,general,FALSE,PHARMETRICS
1,2619,81189,NA,2021-03-01,2021-03-31,222.28336755646816,NA,NA,NA,FALSE,TRUE,1,users_hydroxychloroquine,365,FALSE,months,TRUE,1,5,Denominator cohort 1,0 to 19,Both,365,2019-01-01,2022-06-01,NA,general,FALSE,PHARMETRICS
