group_name,group_level,strata_name,strata_level,window_name,variable,variable_type,variable_level,estimate_type,estimate,cdm_name,generated_by
Cohort name,new_users_methotrexate,Overall,Overall,-Inf to -1,Effects of foreign body entering through natural orifice [T15-T19],binary,NA,count,3,PHARMETRICS,DrugUtilisation_0.2.0_summariseCharacteristicsFromCodelist
Cohort name,new_users_methotrexate,Overall,Overall,-Inf to -1,Injuries to the shoulder and upper arm [S40-S49],binary,NA,count,15,PHARMETRICS,DrugUtilisation_0.2.0_summariseCharacteristicsFromCodelist
Cohort name,new_users_methotrexate,Overall,Overall,-Inf to -1,Lung diseases due to external agents [J60-J70],binary,NA,count,81,PHARMETRICS,DrugUtilisation_0.2.0_summariseCharacteristicsFromCodelist
Cohort name,new_users_hydroxychloroquine,Overall,Overall,-Inf to -1,Other forms of heart disease [I30-I52],binary,NA,count,40,PHARMETRICS,DrugUtilisation_0.2.0_summariseCharacteristicsFromCodelist
Cohort name,new_users_hydroxychloroquine,Overall,Overall,-Inf to -1,Diseases of appendix [K35-K38],binary,NA,count,1,PHARMETRICS,DrugUtilisation_0.2.0_summariseCharacteristicsFromCodelist
Cohort name,new_users_hydroxychloroquine,Overall,Overall,-Inf to -1,Accidental poisoning by and exposure to noxious substances [X40-X49],binary,NA,count,1,PHARMETRICS,DrugUtilisation_0.2.0_summariseCharacteristicsFromCodelist
Cohort name,new_users_hydroxychloroquine,Overall,Overall,-Inf to -1,Renal tubulo-interstitial diseases [N10-N16],binary,NA,count,12,PHARMETRICS,DrugUtilisation_0.2.0_summariseCharacteristicsFromCodelist
Cohort name,new_users_hydroxychloroquine,Overall,Overall,-Inf to -1,Other infectious diseases [B99-B99],binary,NA,count,111,PHARMETRICS,DrugUtilisation_0.2.0_summariseCharacteristicsFromCodelist
Cohort name,new_users_hydroxychloroquine,Overall,Overall,-Inf to -1,Injuries to the knee and lower leg [S80-S89],binary,NA,count,18,PHARMETRICS,DrugUtilisation_0.2.0_summariseCharacteristicsFromCodelist
Cohort name,new_users_methotrexate,Overall,Overall,-Inf to -1,Other joint disorders [M20-M25],binary,NA,count,109,PHARMETRICS,DrugUtilisation_0.2.0_summariseCharacteristicsFromCodelist
Cohort name,new_users_methotrexate,Overall,Overall,-Inf to -1,Radiation-related disorders of the skin and subcutaneous tissue [L55-L59],binary,NA,count,12,PHARMETRICS,DrugUtilisation_0.2.0_summariseCharacteristicsFromCodelist
Cohort name,new_users_methotrexate,Overall,Overall,-Inf to -1,Unspecified mental disorder [F99-F99],binary,NA,count,47,PHARMETRICS,DrugUtilisation_0.2.0_summariseCharacteristicsFromCodelist
Cohort name,new_users_hydroxychloroquine,Overall,Overall,-Inf to -1,Delivery [O80-O84],binary,NA,count,5,PHARMETRICS,DrugUtilisation_0.2.0_summariseCharacteristicsFromCodelist
Cohort name,new_users_hydroxychloroquine,Overall,Overall,-Inf to -1,Pregnancy with abortive outcome [O00-O08],binary,NA,count,5,PHARMETRICS,DrugUtilisation_0.2.0_summariseCharacteristicsFromCodelist
Cohort name,new_users_hydroxychloroquine,Overall,Overall,-Inf to -1,Burns and corrosions of multiple and unspecified body regions [T29-T32],binary,NA,count,3,PHARMETRICS,DrugUtilisation_0.2.0_summariseCharacteristicsFromCodelist
Cohort name,new_users_hydroxychloroquine,Overall,Overall,-Inf to -1,Transitory endocrine and metabolic disorders specific to fetus and newborn [P70-P74],binary,NA,count,98,PHARMETRICS,DrugUtilisation_0.2.0_summariseCharacteristicsFromCodelist
Cohort name,new_users_methotrexate,Overall,Overall,-Inf to -1,"Diseases of oesophagus, stomach and duodenum [K20-K31]",binary,NA,count,60,PHARMETRICS,DrugUtilisation_0.2.0_summariseCharacteristicsFromCodelist
Cohort name,new_users_methotrexate,Overall,Overall,-Inf to -1,Other diseases of intestines [K55-K64],binary,NA,count,42,PHARMETRICS,DrugUtilisation_0.2.0_summariseCharacteristicsFromCodelist
Cohort name,new_users_hydroxychloroquine,Overall,Overall,-Inf to -1,Other respiratory diseases principally affecting the interstitium [J80-J84],binary,NA,count,2,PHARMETRICS,DrugUtilisation_0.2.0_summariseCharacteristicsFromCodelist
Cohort name,new_users_hydroxychloroquine,Overall,Overall,-Inf to -1,Congenital malformations and deformations of the musculoskeletal system [Q65-Q79],binary,NA,count,7,PHARMETRICS,DrugUtilisation_0.2.0_summariseCharacteristicsFromCodelist
Cohort name,new_users_methotrexate,Overall,Overall,-Inf to -1,Pregnancy with abortive outcome [O00-O08],binary,NA,count,3,PHARMETRICS,DrugUtilisation_0.2.0_summariseCharacteristicsFromCodelist
Cohort name,new_users_methotrexate,Overall,Overall,-Inf to -1,"Congenital malformations of eye, ear, face and neck [Q10-Q18]",binary,NA,count,1,PHARMETRICS,DrugUtilisation_0.2.0_summariseCharacteristicsFromCodelist
Cohort name,new_users_hydroxychloroquine,Overall,Overall,-Inf to -1,Disorders of breast [N60-N64],binary,NA,count,12,PHARMETRICS,DrugUtilisation_0.2.0_summariseCharacteristicsFromCodelist
Cohort name,new_users_methotrexate,Overall,Overall,-Inf to -1,Symptoms and signs involving speech and voice [R47-R49],binary,NA,count,2,PHARMETRICS,DrugUtilisation_0.2.0_summariseCharacteristicsFromCodelist
Cohort name,new_users_hydroxychloroquine,Overall,Overall,-Inf to -1,Congenital malformations of the urinary system [Q60-Q64],binary,NA,count,3,PHARMETRICS,DrugUtilisation_0.2.0_summariseCharacteristicsFromCodelist
Cohort name,new_users_hydroxychloroquine,Overall,Overall,-Inf to -1,"Diseases of oral cavity, salivary glands and jaws [K00-K14]",binary,NA,count,25,PHARMETRICS,DrugUtilisation_0.2.0_summariseCharacteristicsFromCodelist
Cohort name,new_users_methotrexate,Overall,Overall,-Inf to -1,Disorders of breast [N60-N64],binary,NA,count,9,PHARMETRICS,DrugUtilisation_0.2.0_summariseCharacteristicsFromCodelist
Cohort name,new_users_methotrexate,Overall,Overall,-Inf to -1,Pulmonary heart disease and diseases of pulmonary circulation [I26-I28],binary,NA,count,2,PHARMETRICS,DrugUtilisation_0.2.0_summariseCharacteristicsFromCodelist
Cohort name,new_users_hydroxychloroquine,Overall,Overall,-Inf to -1,Disorders of thyroid gland [E00-E07],binary,NA,count,53,PHARMETRICS,DrugUtilisation_0.2.0_summariseCharacteristicsFromCodelist
Cohort name,new_users_hydroxychloroquine,Overall,Overall,-Inf to -1,Other disorders of the genitourinary system [N99-N99],binary,NA,count,94,PHARMETRICS,DrugUtilisation_0.2.0_summariseCharacteristicsFromCodelist
Cohort name,new_users_hydroxychloroquine,Overall,Overall,-Inf to -1,Infections with a predominantly sexual mode of transmission [A50-A64],binary,NA,count,1,PHARMETRICS,DrugUtilisation_0.2.0_summariseCharacteristicsFromCodelist
Cohort name,new_users_hydroxychloroquine,Overall,Overall,-Inf to -1,Injuries to the head [S00-S09],binary,NA,count,10,PHARMETRICS,DrugUtilisation_0.2.0_summariseCharacteristicsFromCodelist
Cohort name,new_users_methotrexate,Overall,Overall,-Inf to -1,Spondylopathies [M45-M49],binary,NA,count,37,PHARMETRICS,DrugUtilisation_0.2.0_summariseCharacteristicsFromCodelist
Cohort name,new_users_hydroxychloroquine,Overall,Overall,-Inf to -1,denominator,binary,NA,count,171,PHARMETRICS,DrugUtilisation_0.2.0_summariseCharacteristicsFromCodelist
Cohort name,new_users_hydroxychloroquine,Overall,Overall,-Inf to -1,Injuries to the shoulder and upper arm [S40-S49],binary,NA,count,31,PHARMETRICS,DrugUtilisation_0.2.0_summariseCharacteristicsFromCodelist
Cohort name,new_users_methotrexate,Overall,Overall,-Inf to -1,Metabolic disorders [E70-E90],binary,NA,count,123,PHARMETRICS,DrugUtilisation_0.2.0_summariseCharacteristicsFromCodelist
Cohort name,new_users_hydroxychloroquine,Overall,Overall,-Inf to -1,Effects of foreign body entering through natural orifice [T15-T19],binary,NA,count,3,PHARMETRICS,DrugUtilisation_0.2.0_summariseCharacteristicsFromCodelist
Cohort name,new_users_hydroxychloroquine,Overall,Overall,-Inf to -1,"Coagulation defects, purpura and other haemorrhagic conditions [D65-D69]",binary,NA,count,11,PHARMETRICS,DrugUtilisation_0.2.0_summariseCharacteristicsFromCodelist
Cohort name,new_users_hydroxychloroquine,Overall,Overall,-Inf to -1,Persons encountering health services in other circumstances [Z70-Z76],binary,NA,count,161,PHARMETRICS,DrugUtilisation_0.2.0_summariseCharacteristicsFromCodelist
Cohort name,new_users_hydroxychloroquine,Overall,Overall,-Inf to -1,Diseases of inner ear [H80-H83],binary,NA,count,3,PHARMETRICS,DrugUtilisation_0.2.0_summariseCharacteristicsFromCodelist
Cohort name,new_users_methotrexate,Overall,Overall,-Inf to -1,Other diseases of upper respiratory tract [J30-J39],binary,NA,count,58,PHARMETRICS,DrugUtilisation_0.2.0_summariseCharacteristicsFromCodelist
Cohort name,new_users_hydroxychloroquine,Overall,Overall,-Inf to -1,Other diseases of blood and blood-forming organs [D70-D77],binary,NA,count,25,PHARMETRICS,DrugUtilisation_0.2.0_summariseCharacteristicsFromCodelist
Cohort name,new_users_methotrexate,Overall,Overall,-Inf to -1,Other disorders of eye and adnexa [H55-H59],binary,NA,count,61,PHARMETRICS,DrugUtilisation_0.2.0_summariseCharacteristicsFromCodelist
Cohort name,new_users_hydroxychloroquine,Overall,Overall,-Inf to -1,Aplastic and other anaemias [D60-D64],binary,NA,count,30,PHARMETRICS,DrugUtilisation_0.2.0_summariseCharacteristicsFromCodelist
Cohort name,new_users_hydroxychloroquine,Overall,Overall,-Inf to -1,Acute rheumatic fever [I00-I02],binary,NA,count,1,PHARMETRICS,DrugUtilisation_0.2.0_summariseCharacteristicsFromCodelist
Cohort name,new_users_methotrexate,Overall,Overall,-Inf to -1,Behavioural and emotional disorders with onset usually occurring in childhood and adolescence [F90-F98],binary,NA,count,3,PHARMETRICS,DrugUtilisation_0.2.0_summariseCharacteristicsFromCodelist
Cohort name,new_users_hydroxychloroquine,Overall,Overall,-Inf to -1,Other congenital malformations [Q80-Q89],binary,NA,count,15,PHARMETRICS,DrugUtilisation_0.2.0_summariseCharacteristicsFromCodelist
Cohort name,new_users_hydroxychloroquine,Overall,Overall,-Inf to -1,Cerebrovascular diseases [I60-I69],binary,NA,count,156,PHARMETRICS,DrugUtilisation_0.2.0_summariseCharacteristicsFromCodelist
Cohort name,new_users_methotrexate,Overall,Overall,-Inf to -1,Other respiratory diseases principally affecting the interstitium [J80-J84],binary,NA,count,2,PHARMETRICS,DrugUtilisation_0.2.0_summariseCharacteristicsFromCodelist
Cohort name,new_users_methotrexate,Overall,Overall,-Inf to -1,Other diseases of urinary system [N30-N39],binary,NA,count,38,PHARMETRICS,DrugUtilisation_0.2.0_summariseCharacteristicsFromCodelist
Cohort name,new_users_methotrexate,Overall,Overall,-Inf to -1,Other diseases of blood and blood-forming organs [D70-D77],binary,NA,count,23,PHARMETRICS,DrugUtilisation_0.2.0_summariseCharacteristicsFromCodelist
Cohort name,new_users_hydroxychloroquine,Overall,Overall,-Inf to -1,Glaucoma [H40-H42],binary,NA,count,14,PHARMETRICS,DrugUtilisation_0.2.0_summariseCharacteristicsFromCodelist
Cohort name,new_users_methotrexate,Overall,Overall,-Inf to -1,Melanoma and other malignant neoplasms of skin [C43-C44],binary,NA,count,5,PHARMETRICS,DrugUtilisation_0.2.0_summariseCharacteristicsFromCodelist
Cohort name,new_users_hydroxychloroquine,Overall,Overall,-Inf to -1,Noninflammatory disorders of female genital tract [N80-N98],binary,NA,count,64,PHARMETRICS,DrugUtilisation_0.2.0_summariseCharacteristicsFromCodelist
Cohort name,new_users_hydroxychloroquine,Overall,Overall,-Inf to -1,Other diseases of the respiratory system [J95-J99],binary,NA,count,121,PHARMETRICS,DrugUtilisation_0.2.0_summariseCharacteristicsFromCodelist
Cohort name,new_users_hydroxychloroquine,Overall,Overall,-Inf to -1,Polyneuropathies and other disorders of the peripheral nervous system [G60-G64],binary,NA,count,50,PHARMETRICS,DrugUtilisation_0.2.0_summariseCharacteristicsFromCodelist
Cohort name,new_users_hydroxychloroquine,Overall,Overall,-Inf to -1,Complications of labour and delivery [O60-O75],binary,NA,count,5,PHARMETRICS,DrugUtilisation_0.2.0_summariseCharacteristicsFromCodelist
Cohort name,new_users_methotrexate,Overall,Overall,-Inf to -1,Nutritional anaemias [D50-D53],binary,NA,count,16,PHARMETRICS,DrugUtilisation_0.2.0_summariseCharacteristicsFromCodelist
Cohort name,new_users_methotrexate,Overall,Overall,-Inf to -1,Glomerular diseases [N00-N08],binary,NA,count,14,PHARMETRICS,DrugUtilisation_0.2.0_summariseCharacteristicsFromCodelist
