group_name,group_level,strata_name,strata_level,window_name,variable,variable_type,variable_level,estimate_type,estimate,cdm_name,generated_by
Cohort name,new_users_methotrexate,Overall,Overall,-365 to -1,"ATC 3rd: ANTIARRHYTHMICS, CLASS I AND III (21600248)",binary,NA,count,5,PHARMETRICS,DrugUtilisation_0.2.0_summariseCharacteristicsFromCodelist
Cohort name,new_users_methotrexate,Overall,Overall,-365 to -1,"ATC 3rd: ANTIPRURITICS, INCL. ANTIHISTAMINES, ANESTHETICS, ETC. (21602003)",binary,NA,count,3,PHARMETRICS,DrugUtilisation_0.2.0_summariseCharacteristicsFromCodelist
Cohort name,new_users_hydroxychloroquine,Overall,Overall,-365 to -1,ATC 3rd: VASODILATORS USED IN CARDIAC DISEASES (21600315),binary,NA,count,3,PHARMETRICS,DrugUtilisation_0.2.0_summariseCharacteristicsFromCodelist
Cohort name,new_users_methotrexate,Overall,Overall,-365 to -1,ATC 3rd: DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS (21600128),binary,NA,count,3,PHARMETRICS,DrugUtilisation_0.2.0_summariseCharacteristicsFromCodelist
Cohort name,new_users_hydroxychloroquine,Overall,Overall,-365 to -1,ATC 3rd: OTHER CARDIAC PREPARATIONS (21600360),binary,NA,count,8,PHARMETRICS,DrugUtilisation_0.2.0_summariseCharacteristicsFromCodelist
Cohort name,new_users_methotrexate,Overall,Overall,-365 to -1,ATC 3rd: CORTICOSTEROIDS AND ANTIINFECTIVES IN COMBINATION (21605204),binary,NA,count,6,PHARMETRICS,DrugUtilisation_0.2.0_summariseCharacteristicsFromCodelist
Cohort name,new_users_hydroxychloroquine,Overall,Overall,-365 to -1,ATC 3rd: OTHER SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM (21602618),binary,NA,count,1,PHARMETRICS,DrugUtilisation_0.2.0_summariseCharacteristicsFromCodelist
Cohort name,new_users_hydroxychloroquine,Overall,Overall,-365 to -1,denominator,binary,NA,count,171,PHARMETRICS,DrugUtilisation_0.2.0_summariseCharacteristicsFromCodelist
Cohort name,new_users_methotrexate,Overall,Overall,-365 to -1,ATC 3rd: HORMONE ANTAGONISTS AND RELATED AGENTS (21603829),binary,NA,count,1,PHARMETRICS,DrugUtilisation_0.2.0_summariseCharacteristicsFromCodelist
Cohort name,new_users_methotrexate,Overall,Overall,-365 to -1,ATC 3rd: SELECTIVE CALCIUM CHANNEL BLOCKERS WITH MAINLY VASCULAR EFFECTS (21601745),binary,NA,count,10,PHARMETRICS,DrugUtilisation_0.2.0_summariseCharacteristicsFromCodelist
Cohort name,new_users_methotrexate,Overall,Overall,-365 to -1,ATC 3rd: MAGNETIC RESONANCE IMAGING CONTRAST MEDIA (21605418),binary,NA,count,2,PHARMETRICS,DrugUtilisation_0.2.0_summariseCharacteristicsFromCodelist
Cohort name,new_users_methotrexate,Overall,Overall,-365 to -1,ATC 3rd: ANTIINFLAMMATORY AGENTS (21603616),binary,NA,count,3,PHARMETRICS,DrugUtilisation_0.2.0_summariseCharacteristicsFromCodelist
Cohort name,new_users_hydroxychloroquine,Overall,Overall,-365 to -1,ATC 3rd: HORMONE ANTAGONISTS AND RELATED AGENTS (21603829),binary,NA,count,2,PHARMETRICS,DrugUtilisation_0.2.0_summariseCharacteristicsFromCodelist
Cohort name,new_users_methotrexate,Overall,Overall,-365 to -1,"ATC 3rd: MACROLIDES, LINCOSAMIDES AND STREPTOGRAMINS (21602968)",binary,NA,count,21,PHARMETRICS,DrugUtilisation_0.2.0_summariseCharacteristicsFromCodelist
Cohort name,new_users_hydroxychloroquine,Overall,Overall,-365 to -1,ATC 3rd: IRON PREPARATIONS (21601078),binary,NA,count,1,PHARMETRICS,DrugUtilisation_0.2.0_summariseCharacteristicsFromCodelist
Cohort name,new_users_hydroxychloroquine,Overall,Overall,-365 to -1,"ATC 3rd: ANTIPRURITICS, INCL. ANTIHISTAMINES, ANESTHETICS, ETC. (21602003)",binary,NA,count,7,PHARMETRICS,DrugUtilisation_0.2.0_summariseCharacteristicsFromCodelist
Cohort name,new_users_hydroxychloroquine,Overall,Overall,-365 to -1,ATC 3rd: ANTIINFECTIVES (21603552),binary,NA,count,9,PHARMETRICS,DrugUtilisation_0.2.0_summariseCharacteristicsFromCodelist
Cohort name,new_users_methotrexate,Overall,Overall,-365 to -1,ATC 3rd: OPIOIDS (21604254),binary,NA,count,31,PHARMETRICS,DrugUtilisation_0.2.0_summariseCharacteristicsFromCodelist
Cohort name,new_users_hydroxychloroquine,Overall,Overall,-365 to -1,ATC 3rd: OTHER BETA-LACTAM ANTIBACTERIALS (21602868),binary,NA,count,33,PHARMETRICS,DrugUtilisation_0.2.0_summariseCharacteristicsFromCodelist
