cohort_definition_id,cohort_name,number_records,number_subjects,reason_id,reason,excluded_records,excluded_subjects
1,Denominator cohort 1,106588,100000,1,Starting population,NA,NA
1,Denominator cohort 1,106588,100000,2,Missing year of birth,0,0
1,Denominator cohort 1,106586,99998,3,Missing sex,2,2
1,Denominator cohort 1,106586,99998,4,Cannot satisfy age criteria during the study period based on year of birth,0,0
1,Denominator cohort 1,56506,54152,5,No observation time available during study period,50080,45846
1,Denominator cohort 1,56506,54152,6,Doesn't satisfy age criteria during the study period,0,0
1,Denominator cohort 1,38717,38293,7,Prior history requirement not fulfilled during study period,17789,15859
1,Denominator cohort 1,7349,7277,10,No observation time available after applying age and prior history criteria,31368,31016
2,Denominator cohort 2,106588,100000,1,Starting population,NA,NA
2,Denominator cohort 2,106588,100000,2,Missing year of birth,0,0
2,Denominator cohort 2,106586,99998,3,Missing sex,2,2
2,Denominator cohort 2,106586,99998,4,Cannot satisfy age criteria during the study period based on year of birth,0,0
2,Denominator cohort 2,56506,54152,5,No observation time available during study period,50080,45846
2,Denominator cohort 2,56506,54152,6,Doesn't satisfy age criteria during the study period,0,0
2,Denominator cohort 2,38717,38293,7,Prior history requirement not fulfilled during study period,17789,15859
2,Denominator cohort 2,19896,19685,8,Not Female,18821,18608
2,Denominator cohort 2,3554,3521,10,No observation time available after applying age and prior history criteria,16342,16164
3,Denominator cohort 3,106588,100000,1,Starting population,NA,NA
3,Denominator cohort 3,106588,100000,2,Missing year of birth,0,0
3,Denominator cohort 3,106586,99998,3,Missing sex,2,2
3,Denominator cohort 3,106586,99998,4,Cannot satisfy age criteria during the study period based on year of birth,0,0
3,Denominator cohort 3,56506,54152,5,No observation time available during study period,50080,45846
3,Denominator cohort 3,56506,54152,6,Doesn't satisfy age criteria during the study period,0,0
3,Denominator cohort 3,38717,38293,7,Prior history requirement not fulfilled during study period,17789,15859
3,Denominator cohort 3,18821,18608,8,Not Male,19896,19685
3,Denominator cohort 3,3795,3756,10,No observation time available after applying age and prior history criteria,15026,14852
4,Denominator cohort 4,106588,100000,1,Starting population,NA,NA
4,Denominator cohort 4,106588,100000,2,Missing year of birth,0,0
4,Denominator cohort 4,106586,99998,3,Missing sex,2,2
4,Denominator cohort 4,106586,99998,4,Cannot satisfy age criteria during the study period based on year of birth,0,0
4,Denominator cohort 4,56506,54152,5,No observation time available during study period,50080,45846
4,Denominator cohort 4,56506,54152,6,Doesn't satisfy age criteria during the study period,0,0
4,Denominator cohort 4,38717,38293,7,Prior history requirement not fulfilled during study period,17789,15859
4,Denominator cohort 4,10861,10710,10,No observation time available after applying age and prior history criteria,27856,27583
5,Denominator cohort 5,106588,100000,1,Starting population,NA,NA
5,Denominator cohort 5,106588,100000,2,Missing year of birth,0,0
5,Denominator cohort 5,106586,99998,3,Missing sex,2,2
5,Denominator cohort 5,106586,99998,4,Cannot satisfy age criteria during the study period based on year of birth,0,0
5,Denominator cohort 5,56506,54152,5,No observation time available during study period,50080,45846
5,Denominator cohort 5,56506,54152,6,Doesn't satisfy age criteria during the study period,0,0
5,Denominator cohort 5,38717,38293,7,Prior history requirement not fulfilled during study period,17789,15859
5,Denominator cohort 5,19896,19685,8,Not Female,18821,18608
5,Denominator cohort 5,5466,5386,10,No observation time available after applying age and prior history criteria,14430,14299
6,Denominator cohort 6,106588,100000,1,Starting population,NA,NA
6,Denominator cohort 6,106588,100000,2,Missing year of birth,0,0
6,Denominator cohort 6,106586,99998,3,Missing sex,2,2
6,Denominator cohort 6,106586,99998,4,Cannot satisfy age criteria during the study period based on year of birth,0,0
6,Denominator cohort 6,56506,54152,5,No observation time available during study period,50080,45846
6,Denominator cohort 6,56506,54152,6,Doesn't satisfy age criteria during the study period,0,0
6,Denominator cohort 6,38717,38293,7,Prior history requirement not fulfilled during study period,17789,15859
6,Denominator cohort 6,18821,18608,8,Not Male,19896,19685
6,Denominator cohort 6,5395,5324,10,No observation time available after applying age and prior history criteria,13426,13284
7,Denominator cohort 7,106588,100000,1,Starting population,NA,NA
7,Denominator cohort 7,106588,100000,2,Missing year of birth,0,0
7,Denominator cohort 7,106586,99998,3,Missing sex,2,2
7,Denominator cohort 7,106586,99998,4,Cannot satisfy age criteria during the study period based on year of birth,0,0
7,Denominator cohort 7,56506,54152,5,No observation time available during study period,50080,45846
7,Denominator cohort 7,56506,54152,6,Doesn't satisfy age criteria during the study period,0,0
7,Denominator cohort 7,38717,38293,7,Prior history requirement not fulfilled during study period,17789,15859
7,Denominator cohort 7,11282,11184,10,No observation time available after applying age and prior history criteria,27435,27109
8,Denominator cohort 8,106588,100000,1,Starting population,NA,NA
8,Denominator cohort 8,106588,100000,2,Missing year of birth,0,0
8,Denominator cohort 8,106586,99998,3,Missing sex,2,2
8,Denominator cohort 8,106586,99998,4,Cannot satisfy age criteria during the study period based on year of birth,0,0
8,Denominator cohort 8,56506,54152,5,No observation time available during study period,50080,45846
8,Denominator cohort 8,56506,54152,6,Doesn't satisfy age criteria during the study period,0,0
8,Denominator cohort 8,38717,38293,7,Prior history requirement not fulfilled during study period,17789,15859
8,Denominator cohort 8,19896,19685,8,Not Female,18821,18608
8,Denominator cohort 8,5736,5695,10,No observation time available after applying age and prior history criteria,14160,13990
9,Denominator cohort 9,106588,100000,1,Starting population,NA,NA
9,Denominator cohort 9,106588,100000,2,Missing year of birth,0,0
9,Denominator cohort 9,106586,99998,3,Missing sex,2,2
9,Denominator cohort 9,106586,99998,4,Cannot satisfy age criteria during the study period based on year of birth,0,0
9,Denominator cohort 9,56506,54152,5,No observation time available during study period,50080,45846
9,Denominator cohort 9,56506,54152,6,Doesn't satisfy age criteria during the study period,0,0
9,Denominator cohort 9,38717,38293,7,Prior history requirement not fulfilled during study period,17789,15859
9,Denominator cohort 9,18821,18608,8,Not Male,19896,19685
9,Denominator cohort 9,5546,5489,10,No observation time available after applying age and prior history criteria,13275,13119
10,Denominator cohort 10,106588,100000,1,Starting population,NA,NA
10,Denominator cohort 10,106588,100000,2,Missing year of birth,0,0
10,Denominator cohort 10,106586,99998,3,Missing sex,2,2
10,Denominator cohort 10,106586,99998,4,Cannot satisfy age criteria during the study period based on year of birth,0,0
10,Denominator cohort 10,56506,54152,5,No observation time available during study period,50080,45846
10,Denominator cohort 10,56506,54152,6,Doesn't satisfy age criteria during the study period,0,0
10,Denominator cohort 10,38717,38293,7,Prior history requirement not fulfilled during study period,17789,15859
10,Denominator cohort 10,9372,9308,10,No observation time available after applying age and prior history criteria,29345,28985
11,Denominator cohort 11,106588,100000,1,Starting population,NA,NA
11,Denominator cohort 11,106588,100000,2,Missing year of birth,0,0
11,Denominator cohort 11,106586,99998,3,Missing sex,2,2
11,Denominator cohort 11,106586,99998,4,Cannot satisfy age criteria during the study period based on year of birth,0,0
11,Denominator cohort 11,56506,54152,5,No observation time available during study period,50080,45846
11,Denominator cohort 11,56506,54152,6,Doesn't satisfy age criteria during the study period,0,0
11,Denominator cohort 11,38717,38293,7,Prior history requirement not fulfilled during study period,17789,15859
11,Denominator cohort 11,19896,19685,8,Not Female,18821,18608
11,Denominator cohort 11,4972,4937,10,No observation time available after applying age and prior history criteria,14924,14748
12,Denominator cohort 12,106588,100000,1,Starting population,NA,NA
12,Denominator cohort 12,106588,100000,2,Missing year of birth,0,0
12,Denominator cohort 12,106586,99998,3,Missing sex,2,2
12,Denominator cohort 12,106586,99998,4,Cannot satisfy age criteria during the study period based on year of birth,0,0
12,Denominator cohort 12,56506,54152,5,No observation time available during study period,50080,45846
12,Denominator cohort 12,56506,54152,6,Doesn't satisfy age criteria during the study period,0,0
12,Denominator cohort 12,38717,38293,7,Prior history requirement not fulfilled during study period,17789,15859
12,Denominator cohort 12,18821,18608,8,Not Male,19896,19685
12,Denominator cohort 12,4400,4371,10,No observation time available after applying age and prior history criteria,14421,14237
13,Denominator cohort 13,106588,100000,1,Starting population,NA,NA
13,Denominator cohort 13,106588,100000,2,Missing year of birth,0,0
13,Denominator cohort 13,106586,99998,3,Missing sex,2,2
13,Denominator cohort 13,106586,99998,4,Cannot satisfy age criteria during the study period based on year of birth,0,0
13,Denominator cohort 13,56506,54152,5,No observation time available during study period,50080,45846
13,Denominator cohort 13,56506,54152,6,Doesn't satisfy age criteria during the study period,0,0
13,Denominator cohort 13,38717,38293,7,Prior history requirement not fulfilled during study period,17789,15859
13,Denominator cohort 13,2225,2221,10,No observation time available after applying age and prior history criteria,36492,36072
14,Denominator cohort 14,106588,100000,1,Starting population,NA,NA
14,Denominator cohort 14,106588,100000,2,Missing year of birth,0,0
14,Denominator cohort 14,106586,99998,3,Missing sex,2,2
14,Denominator cohort 14,106586,99998,4,Cannot satisfy age criteria during the study period based on year of birth,0,0
14,Denominator cohort 14,56506,54152,5,No observation time available during study period,50080,45846
14,Denominator cohort 14,56506,54152,6,Doesn't satisfy age criteria during the study period,0,0
14,Denominator cohort 14,38717,38293,7,Prior history requirement not fulfilled during study period,17789,15859
14,Denominator cohort 14,19896,19685,8,Not Female,18821,18608
14,Denominator cohort 14,1330,1327,10,No observation time available after applying age and prior history criteria,18566,18358
15,Denominator cohort 15,106588,100000,1,Starting population,NA,NA
15,Denominator cohort 15,106588,100000,2,Missing year of birth,0,0
15,Denominator cohort 15,106586,99998,3,Missing sex,2,2
15,Denominator cohort 15,106586,99998,4,Cannot satisfy age criteria during the study period based on year of birth,0,0
15,Denominator cohort 15,56506,54152,5,No observation time available during study period,50080,45846
15,Denominator cohort 15,56506,54152,6,Doesn't satisfy age criteria during the study period,0,0
15,Denominator cohort 15,38717,38293,7,Prior history requirement not fulfilled during study period,17789,15859
15,Denominator cohort 15,18821,18608,8,Not Male,19896,19685
15,Denominator cohort 15,895,894,10,No observation time available after applying age and prior history criteria,17926,17714
16,Denominator cohort 16,106588,100000,1,Starting population,NA,NA
16,Denominator cohort 16,106588,100000,2,Missing year of birth,0,0
16,Denominator cohort 16,106586,99998,3,Missing sex,2,2
16,Denominator cohort 16,106586,99998,4,Cannot satisfy age criteria during the study period based on year of birth,0,0
16,Denominator cohort 16,56506,54152,5,No observation time available during study period,50080,45846
16,Denominator cohort 16,56506,54152,6,Doesn't satisfy age criteria during the study period,0,0
16,Denominator cohort 16,38717,38293,7,Prior history requirement not fulfilled during study period,17789,15859
16,Denominator cohort 16,38717,38293,10,No observation time available after applying age and prior history criteria,0,0
17,Denominator cohort 17,106588,100000,1,Starting population,NA,NA
17,Denominator cohort 17,106588,100000,2,Missing year of birth,0,0
17,Denominator cohort 17,106586,99998,3,Missing sex,2,2
17,Denominator cohort 17,106586,99998,4,Cannot satisfy age criteria during the study period based on year of birth,0,0
17,Denominator cohort 17,56506,54152,5,No observation time available during study period,50080,45846
17,Denominator cohort 17,56506,54152,6,Doesn't satisfy age criteria during the study period,0,0
17,Denominator cohort 17,38717,38293,7,Prior history requirement not fulfilled during study period,17789,15859
17,Denominator cohort 17,19896,19685,8,Not Female,18821,18608
17,Denominator cohort 17,19896,19685,10,No observation time available after applying age and prior history criteria,0,0
18,Denominator cohort 18,106588,100000,1,Starting population,NA,NA
18,Denominator cohort 18,106588,100000,2,Missing year of birth,0,0
18,Denominator cohort 18,106586,99998,3,Missing sex,2,2
18,Denominator cohort 18,106586,99998,4,Cannot satisfy age criteria during the study period based on year of birth,0,0
18,Denominator cohort 18,56506,54152,5,No observation time available during study period,50080,45846
18,Denominator cohort 18,56506,54152,6,Doesn't satisfy age criteria during the study period,0,0
18,Denominator cohort 18,38717,38293,7,Prior history requirement not fulfilled during study period,17789,15859
18,Denominator cohort 18,18821,18608,8,Not Male,19896,19685
18,Denominator cohort 18,18821,18608,10,No observation time available after applying age and prior history criteria,0,0
